order_id,product_id,quantity,unit_price,line_total
8285,28,4,6.70,26.80
20493,27,3,2.22,6.66
20493,28,2,6.70,13.40
26887,4,2,5.39,10.78
33012,2,4,9.28,37.12
39141,27,5,2.22,11.10
39141,28,4,6.70,26.80
46795,12,5,4.90,24.50
46795,13,2,2.27,4.54
46795,23,4,6.41,25.64
58673,3,4,3.15,12.60
58673,11,4,2.16,8.64
58673,15,1,2.30,2.30
58673,17,1,5.35,5.35
61683,3,4,3.15,12.60
61683,14,2,8.46,16.92
61683,18,2,4.06,8.12
61683,22,5,1.03,5.15
84845,5,1,4.66,4.66
84845,16,1,3.24,3.24
84845,18,2,4.06,8.12
84845,23,2,6.41,12.82
115127,18,3,4.06,12.18
115127,25,4,1.31,5.24
119899,7,0,7.30,0.00
119899,17,5,5.35,26.75
119899,24,5,1.32,6.60
119899,30,2,2.91,5.82
123122,11,3,2.16,6.48
123122,19,0,1.36,0.00
142855,22,1,1.03,1.03
143568,25,5,1.31,6.55
164824,1,4,1.64,6.56
164824,20,3,6.14,18.42
164824,21,4,8.46,33.84
164824,24,1,1.32,1.32
164824,28,2,6.70,13.40
168212,3,4,3.15,12.60
168212,10,2,4.26,8.52
168212,12,3,4.90,14.70
168212,17,2,5.35,10.70
168757,2,5,9.28,46.40
168757,22,1,1.03,1.03
180384,17,1,5.35,5.35
180384,22,4,1.03,4.12
180384,24,1,1.32,1.32
180384,28,1,6.70,6.70
196097,2,3,9.28,27.84
196097,19,1,1.36,1.36
196097,29,3,1.88,5.64
223271,5,3,4.66,13.98
223271,13,4,2.27,9.08
223271,29,3,1.88,5.64
238288,15,3,2.30,6.90
238288,26,3,0.87,2.61
253731,22,3,1.03,3.09
274530,2,4,9.28,37.12
274530,21,4,8.46,33.84
274530,23,1,6.41,6.41
274530,28,4,6.70,26.80
291861,14,2,8.46,16.92
291861,28,3,6.70,20.10
311929,15,0,2.30,0.00
311929,18,1,4.06,4.06
311929,29,1,1.88,1.88
328292,12,1,4.90,4.90
328292,18,1,4.06,4.06
328292,22,2,1.03,2.06
328292,24,3,1.32,3.96
328292,28,4,6.70,26.80
338616,8,2,0.68,1.36
338616,12,5,4.90,24.50
338616,16,1,3.24,3.24
338616,20,1,6.14,6.14
338616,26,2,0.87,1.74
343584,4,3,5.39,16.17
343584,14,3,8.46,25.38
351638,5,2,4.66,9.32
351638,18,5,4.06,20.30
360638,16,3,3.24,9.72
360638,18,4,4.06,16.24
360638,29,1,1.88,1.88
372014,9,1,4.26,4.26
372014,17,2,5.35,10.70
404352,16,2,3.24,6.48
404352,24,1,1.32,1.32
406374,6,5,2.73,13.65
406374,16,3,3.24,9.72
406374,21,5,8.46,42.30
418056,1,3,1.64,4.92
418056,18,1,4.06,4.06
418056,27,1,2.22,2.22
430309,9,1,4.26,4.26
430309,11,2,2.16,4.32
430309,15,0,2.30,0.00
430309,19,3,1.36,4.08
459593,3,5,3.15,15.75
459593,5,1,4.66,4.66
459593,13,4,2.27,9.08
459593,22,2,1.03,2.06
459593,23,2,6.41,12.82
469764,3,3,3.15,9.45
469764,11,5,2.16,10.80
476611,3,2,3.15,6.30
476611,9,2,4.26,8.52
476611,15,2,2.30,4.60
476611,27,2,2.22,4.44
498046,23,3,6.41,19.23
503256,2,5,9.28,46.40
503256,14,3,8.46,25.38
503256,26,4,0.87,3.48
525937,3,1,3.15,3.15
525937,8,1,0.68,0.68
525937,16,1,3.24,3.24
525937,19,1,1.36,1.36
532059,13,2,2.27,4.54
532059,19,2,1.36,2.72
540913,12,3,4.90,14.70
540913,19,5,1.36,6.80
540913,22,5,1.03,5.15
540913,26,5,0.87,4.35
540913,28,4,6.70,26.80
546378,29,1,1.88,1.88
558144,10,3,4.26,12.78
558144,12,5,4.90,24.50
558144,28,1,6.70,6.70
563203,9,4,4.26,17.04
563203,20,2,6.14,12.28
563203,24,2,1.32,2.64
563203,30,1,2.91,2.91
564596,2,5,9.28,46.40
564596,8,5,0.68,3.40
608674,16,2,3.24,6.48
608674,17,2,5.35,10.70
608674,22,3,1.03,3.09
608674,25,2,1.31,2.62
608674,27,3,2.22,6.66
612799,8,2,0.68,1.36
612799,24,5,1.32,6.60
612892,17,4,5.35,21.40
612892,29,3,1.88,5.64
614403,11,1,2.16,2.16
614403,16,3,3.24,9.72
614403,20,5,6.14,30.70
614403,25,4,1.31,5.24
626793,8,4,0.68,2.72
626793,11,1,2.16,2.16
626793,21,4,8.46,33.84
626793,23,4,6.41,25.64
627381,7,1,7.30,7.30
627381,8,3,0.68,2.04
649883,4,2,5.39,10.78
649883,18,4,4.06,16.24
649883,21,1,8.46,8.46
649883,27,2,2.22,4.44
661300,14,3,8.46,25.38
661300,28,4,6.70,26.80
662544,3,2,3.15,6.30
662544,23,1,6.41,6.41
662544,29,3,1.88,5.64
666194,3,2,3.15,6.30
679666,3,1,3.15,3.15
679666,20,5,6.14,30.70
679666,25,4,1.31,5.24
691652,17,2,5.35,10.70
698401,4,2,5.39,10.78
698401,19,0,1.36,0.00
698401,25,3,1.31,3.93
698401,27,5,2.22,11.10
710114,4,1,5.39,5.39
712978,4,2,5.39,10.78
721532,25,2,1.31,2.62
731104,13,5,2.27,11.35
731104,16,5,3.24,16.20
731104,22,3,1.03,3.09
739575,10,4,4.26,17.04
739575,24,5,1.32,6.60
742831,17,4,5.35,21.40
742831,20,5,6.14,30.70
748715,5,1,4.66,4.66
748715,20,3,6.14,18.42
748715,23,5,6.41,32.05
748715,24,5,1.32,6.60
748715,30,4,2.91,11.64
752379,2,2,9.28,18.56
752379,6,1,2.73,2.73
752379,11,3,2.16,6.48
752379,17,5,5.35,26.75
752379,18,2,4.06,8.12
769200,18,1,4.06,4.06
769200,20,3,6.14,18.42
808869,21,4,8.46,33.84
815689,12,3,4.90,14.70
815689,21,2,8.46,16.92
815689,26,2,0.87,1.74
818479,3,3,3.15,9.45
818479,12,1,4.90,4.90
818479,15,2,2.30,4.60
818479,16,2,3.24,6.48
818479,18,5,4.06,20.30
820029,17,4,5.35,21.40
820029,21,3,8.46,25.38
820029,23,1,6.41,6.41
820029,24,5,1.32,6.60
830086,8,5,0.68,3.40
830086,30,5,2.91,14.55
845348,11,1,2.16,2.16
845348,13,1,2.27,2.27
845348,16,2,3.24,6.48
845348,18,1,4.06,4.06
845348,19,4,1.36,5.44
852284,5,1,4.66,4.66
852284,24,5,1.32,6.60
865148,12,1,4.90,4.90
888127,14,5,8.46,42.30
906569,10,1,4.26,4.26
906569,24,2,1.32,2.64
962832,5,2,4.66,9.32
962832,9,3,4.26,12.78
977335,18,3,4.06,12.18
977335,21,4,8.46,33.84
977335,30,5,2.91,14.55
994703,6,5,2.73,13.65
994703,7,0,7.30,0.00
994703,13,4,2.27,9.08
994703,17,2,5.35,10.70
1019536,14,2,8.46,16.92
1019536,15,4,2.30,9.20
1022082,10,5,4.26,21.30
1022082,14,3,8.46,25.38
1022082,17,1,5.35,5.35
1022082,29,1,1.88,1.88
1024665,23,3,6.41,19.23
1024665,26,1,0.87,0.87
1028988,14,4,8.46,33.84
1028988,20,4,6.14,24.56
1028988,22,4,1.03,4.12
1028988,23,1,6.41,6.41
1028988,24,2,1.32,2.64
1036324,5,4,4.66,18.64
1058069,14,5,8.46,42.30
1058069,16,4,3.24,12.96
1064684,14,5,8.46,42.30
1064684,21,3,8.46,25.38
1064684,22,2,1.03,2.06
1064684,29,3,1.88,5.64
1077735,2,5,9.28,46.40
1077735,18,1,4.06,4.06
1079386,10,5,4.26,21.30
1083365,28,3,6.70,20.10
1098272,3,4,3.15,12.60
1098272,4,5,5.39,26.95
1098272,11,3,2.16,6.48
1098272,27,5,2.22,11.10
1099051,3,1,3.15,3.15
1099111,24,1,1.32,1.32
1117315,2,5,9.28,46.40
1117315,4,4,5.39,21.56
1117315,22,4,1.03,4.12
1119043,8,5,0.68,3.40
1119043,10,3,4.26,12.78
1125506,1,3,1.64,4.92
1125506,17,3,5.35,16.05
1125506,30,3,2.91,8.73
1156478,7,5,7.30,36.50
1156478,10,5,4.26,21.30
1156478,12,3,4.90,14.70
1168609,14,2,8.46,16.92
1168609,25,5,1.31,6.55
1205690,4,5,5.39,26.95
1205690,19,4,1.36,5.44
1211270,25,2,1.31,2.62
1247944,6,2,2.73,5.46
1247944,7,0,7.30,0.00
1247944,24,2,1.32,2.64
1247944,28,5,6.70,33.50
1247958,20,5,6.14,30.70
1251395,1,4,1.64,6.56
1251395,29,2,1.88,3.76
1262926,2,2,9.28,18.56
1262926,3,1,3.15,3.15
1262926,21,5,8.46,42.30
1262926,27,1,2.22,2.22
1273614,25,3,1.31,3.93
1281713,15,2,2.30,4.60
1281713,23,1,6.41,6.41
1297753,22,3,1.03,3.09
1305643,11,4,2.16,8.64
1314816,2,2,9.28,18.56
1314816,5,4,4.66,18.64
1314816,11,3,2.16,6.48
1314816,30,2,2.91,5.82
1317680,3,4,3.15,12.60
1317680,26,2,0.87,1.74
1319425,6,5,2.73,13.65
1319425,11,4,2.16,8.64
1319425,13,5,2.27,11.35
1319425,24,1,1.32,1.32
1338516,2,5,9.28,46.40
1342504,7,0,7.30,0.00
1342504,14,1,8.46,8.46
1342504,17,4,5.35,21.40
1361689,9,3,4.26,12.78
1361689,18,3,4.06,12.18
1361689,20,5,6.14,30.70
1361689,21,2,8.46,16.92
1369681,7,3,7.30,21.90
1369681,24,2,1.32,2.64
