order_id,order_datetime,customer_id,total_amount,num_items
8285,2024-02-08T06:34:43.422217,21,26.80,1
20493,2024-02-10T13:29:52.071332,13,20.06,2
26887,2024-02-10T21:46:05.814253,4,10.78,1
33012,2024-02-09T11:20:57.822120,16,37.12,1
39141,2024-02-01T00:51:51.998846,5,37.90,2
46795,2024-02-01T02:00:36.944754,18,54.68,3
58673,2024-02-05T08:58:54.022712,3,28.89,4
61683,2024-02-09T18:59:38.040145,15,42.79,4
84845,2024-02-10T17:23:28.881025,23,28.84,4
115127,2024-02-01T11:27:45.721868,10,17.42,2
119899,2024-02-09T04:22:52.994051,10,39.17,4
123122,2024-02-10T22:15:18.324319,17,6.48,2
142855,2024-02-05T22:44:37.482355,30,1.03,1
143568,2024-02-09T01:20:04.863782,26,6.55,1
164824,2024-02-08T17:35:25.170054,13,73.54,5
168212,2024-02-05T12:45:04.385172,12,46.52,4
168757,2024-02-05T16:23:50.457628,3,47.43,2
180384,2024-02-08T20:27:22.096781,2,17.49,4
196097,2024-02-06T16:14:51.538672,19,34.84,3
223271,2024-02-06T19:44:21.842750,11,28.70,3
238288,2024-02-08T13:06:21.565409,4,9.51,2
253731,2024-02-05T08:05:22.158757,21,3.09,1
274530,2024-02-09T17:43:13.405982,20,104.17,4
291861,2024-02-02T17:23:08.814987,4,37.02,2
311929,2024-02-10T15:34:45.756166,1,5.94,3
328292,2024-02-10T06:57:47.190313,22,41.78,5
338616,2024-02-02T10:07:42.989839,22,36.98,5
343584,2024-02-08T14:54:29.706834,12,41.55,2
351638,2024-02-07T11:09:55.234326,8,29.62,2
360638,2024-02-10T03:25:23.401463,16,27.84,3
372014,2024-02-02T18:05:43.696200,29,14.96,2
404352,2024-02-08T13:30:18.845928,22,7.80,2
406374,2024-02-08T06:21:40.762982,6,65.67,3
418056,2024-02-09T16:18:55.356577,8,11.20,3
430309,2024-02-10T06:32:14.139015,29,8.58,4
459593,2024-02-05T13:56:59.117613,18,44.37,5
469764,2024-02-01T21:40:19.112683,12,20.25,2
476611,2024-02-08T08:32:41.373477,10,23.86,4
